Pw_cl_graph_430000_1.8_7: nnz= 8247742, density= 5.8203372848974614e-05
Pw_cl_graph_430000_1.8_8: nnz= 6628892, density= 4.357396715774251e-05
Pw_cl_graph_430000_1.8_9: nnz= 5266678, density= 3.3643676625871356e-05
Pw_cl_graph_440000_1.8_0: nnz= 1152422, density= 5.954622787237627e-06
Pw_cl_graph_440000_1.8_1: nnz= 2029550, density= 1.0632312027192591e-05
Pw_cl_graph_440000_1.8_2: nnz= 6669218, density= 4.409008738425974e-05
Pw_cl_graph_440000_1.8_3: nnz= 6718118, density= 4.264949370456494e-05
Pw_cl_graph_440000_1.8_4: nnz= 7559768, density= 5.028033175813041e-05
Pw_cl_graph_440000_1.8_5: nnz= 5263282, density= 3.231273311582163e-05
Pw_cl_graph_440000_1.8_6: nnz= 5204096, density= 3.07913845551043e-05
Pw_cl_graph_440000_1.8_7: nnz= 7981224, density= 5.350596852743193e-05
Pw_cl_graph_440000_1.8_8: nnz= 2614342, density= 1.3912983276377356e-05
Pw_cl_graph_440000_1.8_9: nnz= 7031604, density= 4.6166903284218675e-05
Pw_cl_graph_450000_1.8_0: nnz= 8612378, density= 5.530758663836255e-05
Pw_cl_graph_450000_1.8_1: nnz= 3475308, density= 1.912212477065408e-05
Pw_cl_graph_450000_1.8_2: nnz= 6517940, density= 4.0494201499021064e-05
Pw_cl_graph_450000_1.8_3: nnz= 4098394, density= 2.1341617698932505e-05
Pw_cl_graph_450000_1.8_4: nnz= 7253308, density= 4.567922242490166e-05
Pw_cl_graph_450000_1.8_5: nnz= 3359878, density= 1.9265933125100635e-05
Pw_cl_graph_450000_1.8_6: nnz= 8550096, density= 5.499901179853271e-05
Pw_cl_graph_450000_1.8_7: nnz= 6469776, density= 4.0788564225480854e-05
Pw_cl_graph_450000_1.8_8: nnz= 7977720, density= 5.071777927638983e-05
Pw_cl_graph_450000_1.8_9: nnz= 7375458, density= 4.6390958655652665e-05
Pw_cl_graph_460000_1.8_0: nnz= 7395476, density= 4.494954181730967e-05
Pw_cl_graph_460000_1.8_1: nnz= 7943530, density= 4.842208047097703e-05
Pw_cl_graph_460000_1.8_2: nnz= 8326254, density= 5.127941049871382e-05
Pw_cl_graph_460000_1.8_3: nnz= 6509300, density= 3.652363154783324e-05
Pw_cl_graph_460000_1.8_4: nnz= 6136446, density= 3.488238888727851e-05
Pw_cl_graph_460000_1.8_5: nnz= 5171238, density= 2.8298468000319653e-05
Pw_cl_graph_460000_1.8_6: nnz= 4547594, density= 2.4192751970261614e-05
Pw_cl_graph_460000_1.8_7: nnz= 8354440, density= 5.131511834391506e-05
Pw_cl_graph_460000_1.8_8: nnz= 9055648, density= 5.5737541343780815e-05
Pw_cl_graph_460000_1.8_9: nnz= 7173128, density= 4.328552086306284e-05
Pw_cl_graph_470000_1.8_0: nnz= 7344768, density= 4.206698887671316e-05
Pw_cl_graph_470000_1.8_1: nnz= 8753108, density= 5.162214034512848e-05
Pw_cl_graph_470000_1.8_2: nnz= 2511078, density= 1.1743620580383442e-05
Pw_cl_graph_470000_1.8_3: nnz= 7067052, density= 4.017199942544489e-05
Pw_cl_graph_470000_1.8_4: nnz= 5463758, density= 2.8629702413728923e-05
Pw_cl_graph_470000_1.8_5: nnz= 8309166, density= 4.8852458435506386e-05
Pw_cl_graph_470000_1.8_6: nnz= 7370392, density= 4.2398627259135464e-05
Pw_cl_graph_470000_1.8_7: nnz= 7871194, density= 4.600644294395584e-05
Pw_cl_graph_470000_1.8_8: nnz= 4212446, density= 2.0884080472412874e-05
Pw_cl_graph_470000_1.8_9: nnz= 6719180, density= 3.8967377316902394e-05
Pw_cl_graph_480000_1.8_0: nnz= 4715618, density= 2.480366375214583e-05
Pw_cl_graph_480000_1.8_1: nnz= 9496404, density= 5.379964248165934e-05
Pw_cl_graph_480000_1.8_2: nnz= 2068674, density= 9.02021505449597e-06
Pw_cl_graph_480000_1.8_3: nnz= 7752842, density= 4.282974644158895e-05
Pw_cl_graph_480000_1.8_4: nnz= 8081956, density= 4.512028166514787e-05
Pw_cl_graph_480000_1.8_5: nnz= 2843692, density= 1.254186564417554e-05
Pw_cl_graph_480000_1.8_6: nnz= 7304680, density= 4.021127198560659e-05
Pw_cl_graph_480000_1.8_7: nnz= 1222802, density= 5.3082734860904295e-06
Pw_cl_graph_480000_1.8_8: nnz= 7635600, density= 4.266402485386597e-05
Pw_cl_graph_480000_1.8_9: nnz= 2243720, density= 9.789737402966607e-06
Pw_cl_graph_490000_1.8_0: nnz= 8396564, density= 4.42285356295356e-05
Pw_cl_graph_490000_1.8_1: nnz= 1655270, density= 6.904565484847005e-06
Pw_cl_graph_490000_1.8_2: nnz= 5490306, density= 2.795173729086982e-05
Pw_cl_graph_490000_1.8_3: nnz= 7942380, density= 4.246083005528267e-05
Pw_cl_graph_490000_1.8_4: nnz= 5761888, density= 2.865910747314383e-05
Pw_cl_graph_490000_1.8_5: nnz= 8566762, density= 4.62677144477189e-05
Pw_cl_graph_490000_1.8_6: nnz= 4513194, density= 2.1103862446236736e-05
Pw_cl_graph_490000_1.8_7: nnz= 8271016, density= 4.422123029093848e-05
Pw_cl_graph_490000_1.8_8: nnz= 6630706, density= 3.403460356178393e-05
Pw_cl_graph_490000_1.8_9: nnz= 1649256, density= 6.878861336017244e-06
