Pw_cl_graph_350000_8_5: nnz= 5599782, density= 4.5712506122448976e-05
Pw_cl_graph_350000_8_6: nnz= 5599788, density= 4.5712555102040816e-05
Pw_cl_graph_350000_8_7: nnz= 5599788, density= 4.5712555102040816e-05
Pw_cl_graph_350000_8_8: nnz= 5599792, density= 4.571258775510204e-05
Pw_cl_graph_350000_8_9: nnz= 5599788, density= 4.5712555102040816e-05
Pw_cl_graph_350000_10_0: nnz= 6999640, density= 5.713991836734694e-05
Pw_cl_graph_350000_10_1: nnz= 6999632, density= 5.713985306122449e-05
Pw_cl_graph_350000_10_2: nnz= 6999652, density= 5.7140016326530614e-05
Pw_cl_graph_350000_10_3: nnz= 6999642, density= 5.713993469387755e-05
Pw_cl_graph_350000_10_4: nnz= 6999640, density= 5.713991836734694e-05
Pw_cl_graph_350000_10_5: nnz= 6999672, density= 5.7140179591836735e-05
Pw_cl_graph_350000_10_6: nnz= 6999622, density= 5.713977142857143e-05
Pw_cl_graph_350000_10_7: nnz= 6999708, density= 5.714047346938775e-05
Pw_cl_graph_350000_10_8: nnz= 6999652, density= 5.7140016326530614e-05
Pw_cl_graph_350000_10_9: nnz= 6999644, density= 5.7139951020408166e-05
Pw_cl_graph_360000_2_0: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_1: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_2: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_3: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_4: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_5: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_6: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_7: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_8: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_2_9: nnz= 1439992, density= 1.111104938271605e-05
Pw_cl_graph_360000_4_0: nnz= 2879952, density= 2.222185185185185e-05
Pw_cl_graph_360000_4_1: nnz= 2879956, density= 2.2221882716049384e-05
Pw_cl_graph_360000_4_2: nnz= 2879950, density= 2.2221836419753086e-05
Pw_cl_graph_360000_4_3: nnz= 2879950, density= 2.2221836419753086e-05
Pw_cl_graph_360000_4_4: nnz= 2879956, density= 2.2221882716049384e-05
Pw_cl_graph_360000_4_5: nnz= 2879956, density= 2.2221882716049384e-05
Pw_cl_graph_360000_4_6: nnz= 2879950, density= 2.2221836419753086e-05
Pw_cl_graph_360000_4_7: nnz= 2879954, density= 2.222186728395062e-05
Pw_cl_graph_360000_4_8: nnz= 2879954, density= 2.222186728395062e-05
Pw_cl_graph_360000_4_9: nnz= 2879956, density= 2.2221882716049384e-05
Pw_cl_graph_360000_6_0: nnz= 4319892, density= 3.33325e-05
Pw_cl_graph_360000_6_1: nnz= 4319884, density= 3.333243827160494e-05
Pw_cl_graph_360000_6_2: nnz= 4319886, density= 3.33324537037037e-05
Pw_cl_graph_360000_6_3: nnz= 4319888, density= 3.333246913580247e-05
Pw_cl_graph_360000_6_4: nnz= 4319882, density= 3.333242283950617e-05
Pw_cl_graph_360000_6_5: nnz= 4319872, density= 3.333234567901234e-05
Pw_cl_graph_360000_6_6: nnz= 4319888, density= 3.333246913580247e-05
Pw_cl_graph_360000_6_7: nnz= 4319880, density= 3.333240740740741e-05
Pw_cl_graph_360000_6_8: nnz= 4319890, density= 3.333248456790123e-05
Pw_cl_graph_360000_6_9: nnz= 4319876, density= 3.333237654320987e-05
